ANIO,MES,NSELV,UBIGEO,Parentesco_con_jefe_hogar,sexo,edad,idioma_ninez,nivel_educativo,centro_estudios_E_P
2019,10,255,240101,4,1,32,4,6,
2019,10,255,240101,5,1,5,4,2,2
2019,11,10,240101,1,1,83,4,1,
2019,11,10,240101,3,2,53,4,8,
2019,11,10,240101,5,2,22,4,3,
2019,11,40,240101,1,1,48,4,6,
2019,11,40,240101,3,2,26,4,9,
2019,11,40,240101,5,2,7,4,3,2
2019,11,72,240101,1,1,58,4,5,
2019,11,72,240101,3,1,31,4,6,
2019,11,72,240101,3,2,37,4,6,
2019,11,72,240101,4,1,38,4,5,
2019,11,72,240101,5,2,16,4,5,2
2019,11,102,240101,1,1,67,4,6,
2019,11,102,240101,2,2,65,4,5,
2019,11,102,240101,3,1,42,4,6,
2019,11,132,240101,1,1,46,4,6,
2019,11,132,240101,2,2,36,4,5,
2019,11,132,240101,3,1,19,4,9,
2019,11,132,240101,3,1,3,4,1,1
2019,11,132,240101,3,2,17,4,6,
2019,11,161,240101,1,2,42,4,11,2
2019,6,3,240101,1,1,54,,12,
2019,6,3,240101,2,2,50,,11,
2019,6,3,240101,3,1,13,,5,2
2019,6,36,240101,1,1,25,,10,1
2019,6,36,240101,7,1,22,,10,1
2019,6,69,240101,1,2,72,,9,
2019,6,69,240101,7,1,67,,5,
2019,6,69,240101,7,1,62,,9,
2019,6,69,240101,7,2,50,,5,
2019,6,69,240101,8,2,12,,4,1
2019,6,69,240101,8,1,22,,9,
2019,6,69,240101,1,2,30,,9,
2019,6,69,240101,3,2,6,,2,1
2019,6,69,240101,3,1,5,,2,1
2019,6,69,240101,3,1,,,,
2019,6,99,240101,1,1,74,,12,
2019,6,99,240101,2,2,73,,11,
2019,6,99,240101,3,,,,,
2019,6,130,240101,1,1,73,,6,
2019,6,130,240101,2,2,66,,6,
2019,6,160,240101,1,1,27,,8,
2020,2,27,240101,1,1,52,4,11,
2020,2,27,240101,6,2,84,4,3,
2020,2,27,240101,7,1,50,4,9,
2020,2,27,240101,8,2,7,4,3,1
2020,2,27,240101,8,1,25,4,9,
2020,2,27,240101,8,2,19,4,10,
2020,2,45,240101,1,1,36,4,4,
2020,2,45,240101,2,2,33,4,9,
2020,2,45,240101,3,1,10,4,3,1
2020,2,45,240101,3,2,8,4,3,1
2020,2,76,240101,1,2,69,4,3,
2020,2,76,240101,3,2,35,4,5,
2020,2,76,240101,5,1,17,4,6,
2020,2,76,240101,5,1,13,4,5,
2020,2,76,240101,5,1,7,4,3,1
2020,2,108,240101,1,1,76,4,5,
2020,2,108,240101,2,2,76,4,5,
2020,2,176,240101,1,2,86,4,3,
2020,2,176,240101,3,1,48,4,6,
2020,2,176,240101,3,1,45,4,6,
2020,1,47,240101,1,1,61,4,10,
2020,1,47,240101,2,2,63,4,4,
2020,1,47,240101,3,1,23,4,6,
2020,1,60,240101,1,1,72,4,6,
2020,1,60,240101,2,2,65,4,3,
2020,1,60,240101,3,2,45,4,9,
2020,1,60,240101,5,2,18,4,8,1
2020,1,60,240101,5,2,11,4,3,
2020,1,60,240101,5,2,4,4,2,
2020,1,85,240101,1,2,38,4,6,
2020,1,85,240101,2,1,41,4,4,
2020,1,100,240101,1,2,75,4,4,
2020,1,100,240101,3,1,51,4,9,
